date;day;month;year;survey;length;ptot;X;Y;long;lat;surveyF;id_newF;log_length;yearF;jd;mo;jd_s;survey_name
29/11/1997;29;11;1997;1;120;1;333256.9671;7678474.011;55.395901;-20.986828;1;170;4.787491743;1997;333;11;1.768097198;1997-2000
22/7/1999;22;7;1999;1;120;1;333256.9671;7678474.011;55.395901;-20.986828;1;170;4.787491743;1999;203;7;0.198748805;1997-2000
10/6/2017;10;6;2017;3;80;0;333256.9671;7678474.011;55.395901;-20.986828;3;170;4.382026635;2017;161;6;-0.308271445;2017-2019
16/5/2018;16;5;2018;3;80;0;362725.1025;7678666.679;55.67934224;-20.98752146;3;171;4.382026635;2018;136;5;-0.610069213;2017-2019
17/11/2017;17;11;2017;3;80;0;362725.1025;7678666.679;55.67934224;-20.98752146;3;171;4.382026635;2017;321;11;1.623234269;2017-2019
23/5/2017;23;5;2017;3;80;0;362725.1025;7678666.679;55.67934224;-20.98752146;3;171;4.382026635;2017;143;5;-0.525565838;2017-2019
21/5/2017;21;5;2017;3;80;0;334610;7678920;55.40895629;-20.98292183;3;172;4.382026635;2017;141;5;-0.549709659;2017-2019
20/6/2019;20;6;2019;3;80;0;334610;7678920;55.40895629;-20.98292183;3;172;4.382026635;2019;171;6;-0.187552338;2017-2019
10/6/2017;10;6;2017;3;80;0;334610;7678920;55.40895629;-20.98292183;3;172;4.382026635;2017;161;6;-0.308271445;2017-2019
23/3/2000;23;3;2000;1;120;2;334610;7678920;55.40895629;-20.98292183;1;172;4.787491743;2000;83;3;-1.249880481;1997-2000
23/5/2017;23;5;2017;3;80;1;335964.5215;7679901.776;55.42207609;-20.97417539;3;173;4.382026635;2017;143;5;-0.525565838;2017-2019
12/12/1999;12;12;1999;1;120;0;338835.8195;7677878.921;55.4495;-20.9927;1;174;4.787491743;1999;346;12;1.925032037;1997-2000
27/12/2017;27;12;2017;3;80;0;338835.8195;7677878.921;55.4495;-20.9927;3;174;4.382026635;2017;361;12;2.106110698;2017-2019
7/6/2017;7;6;2017;3;80;0;338835.8195;7677878.921;55.4495;-20.9927;3;174;4.382026635;2017;158;6;-0.344487177;2017-2019
16/12/2000;16;12;2000;1;120;1;338835.8195;7677878.921;55.4495;-20.9927;1;174;4.787491743;2000;351;12;1.985391591;1997-2000
16/11/1997;16;11;1997;1;120;0;338835.8195;7677878.921;55.4495;-20.9927;1;174;4.787491743;1997;320;11;1.611162358;1997-2000
5/5/1999;5;5;1999;1;120;2;349661.2574;7680285.368;55.55383074;-20.97187947;1;175;4.787491743;1999;125;5;-0.742860231;1997-2000
7/6/2017;7;6;2017;3;80;0;349661.2574;7680285.368;55.55383074;-20.97187947;3;175;4.382026635;2017;158;6;-0.344487177;2017-2019
22/1/1998;22;1;1998;1;180;2;349661.2574;7680285.368;55.55383074;-20.97187947;1;175;5.192956851;1998;22;1;-1.986267034;1997-2000
20/6/2000;20;6;2000;1;120;2;349661.2574;7680285.368;55.55383074;-20.97187947;1;175;4.787491743;2000;172;6;-0.175480427;1997-2000
7/6/2009;7;6;2009;2;120;0;349661.2574;7680285.368;55.55383074;-20.97187947;2;175;4.787491743;2009;158;6;-0.344487177;2009-2010
6/6/2017;6;6;2017;3;80;0;327864.8922;7680432.1;55.34423922;-20.96864642;3;176;4.382026635;2017;157;6;-0.356559088;2017-2019
10/6/2018;10;6;2018;3;80;2;327864.8922;7680432.1;55.34423922;-20.96864642;3;176;4.382026635;2018;161;6;-0.308271445;2017-2019
29/5/2017;29;5;2017;3;80;0;327864.8922;7680432.1;55.34423922;-20.96864642;3;176;4.382026635;2017;149;5;-0.453134374;2017-2019
9/12/2017;9;12;2017;3;80;0;327864.8922;7680432.1;55.34423922;-20.96864642;3;176;4.382026635;2017;343;12;1.888816305;2017-2019
20/2/1999;20;2;1999;1;120;0;347007.0244;7680525.603;55.52832615;-20.96949096;1;177;4.787491743;1999;51;2;-1.636181624;1997-2000
27/8/1998;27;8;1998;1;60;1;347007.0244;7680525.603;55.52832615;-20.96949096;1;177;4.094344562;1998;239;8;0.633337591;1997-2000
27/12/1998;27;12;1998;1;120;0;347007.0244;7680525.603;55.52832615;-20.96949096;1;177;4.787491743;1998;361;12;2.106110698;1997-2000
6/10/2000;6;10;2000;1;135;1;347007.0244;7680525.603;55.52832615;-20.96949096;1;177;4.905274778;2000;280;10;1.12828593;1997-2000
7/6/2009;7;6;2009;2;120;0;347007.0244;7680525.603;55.52832615;-20.96949096;2;177;4.787491743;2009;158;6;-0.344487177;2009-2010
29/5/2017;29;5;2017;3;80;0;347007.0244;7680525.603;55.52832615;-20.96949096;3;177;4.382026635;2017;149;5;-0.453134374;2017-2019
14/6/2017;14;6;2017;3;80;0;342566.9085;7681351.009;55.48570186;-20.96166138;3;178;4.382026635;2017;165;6;-0.259983802;2017-2019
28/5/2017;28;5;2017;3;80;1;342566.9085;7681351.009;55.48570186;-20.96166138;3;178;4.382026635;2017;148;5;-0.465206284;2017-2019
7/6/2018;7;6;2018;3;80;0;335312;7681444;55.41594779;-20.96018747;3;179;4.382026635;2018;158;6;-0.344487177;2017-2019
07/6/2019;7;6;2019;3;80;0;335312;7681444;55.41594779;-20.96018747;3;179;4.382026635;2019;158;6;-0.344487177;2017-2019
13/12/2017;13;12;2017;3;80;1;335312;7681444;55.41594779;-20.96018747;3;179;4.382026635;2017;347;12;1.937103948;2017-2019
5/6/2017;5;6;2017;3;80;1;335312;7681444;55.41594779;-20.96018747;3;179;4.382026635;2017;156;6;-0.368630999;2017-2019
16/11/1997;16;11;1997;1;120;0;335312;7681444;55.41594779;-20.96018747;1;179;4.787491743;1997;320;11;1.611162358;1997-2000
25/5/2017;25;5;2017;3;80;2;351894;7681710;55.57542525;-20.95919182;3;180;4.382026635;2017;145;5;-0.501422017;2017-2019
20/6/2000;20;6;2000;1;120;1;351894;7681710;55.57542525;-20.95919182;1;180;4.787491743;2000;172;6;-0.175480427;1997-2000
08/6/2019;8;6;2019;3;80;0;351894;7681710;55.57542525;-20.95919182;3;180;4.382026635;2019;159;6;-0.332415267;2017-2019
14/6/2019;14;6;2019;3;80;0;351894;7681710;55.57542525;-20.95919182;3;180;4.382026635;2019;165;6;-0.259983802;2017-2019
20/6/2019;20;6;2019;3;80;0;333592.3751;7681314.797;55.3994;-20.9612;3;181;4.382026635;2019;171;6;-0.187552338;2017-2019
27/5/2017;27;5;2017;3;80;0;333592.3751;7681314.797;55.3994;-20.9612;3;181;4.382026635;2017;147;5;-0.477278195;2017-2019
3/2/2000;3;2;2000;1;120;1;333592.3751;7681314.797;55.3994;-20.9612;1;181;4.787491743;2000;34;2;-1.841404106;1997-2000
10/5/1998;10;5;1998;1;120;2;333592.3751;7681314.797;55.3994;-20.9612;1;181;4.787491743;1998;130;5;-0.682500677;1997-2000
27/12/1998;27;12;1998;1;120;0;345836.6513;7681975.166;55.5172;-20.9563;1;182;4.787491743;1998;361;12;2.106110698;1997-2000
6/12/2017;6;12;2017;3;80;0;345836.6513;7681975.166;55.5172;-20.9563;3;182;4.382026635;2017;340;12;1.852600573;2017-2019
21/6/2019;21;6;2019;3;80;0;345836.6513;7681975.166;55.5172;-20.9563;3;182;4.382026635;2019;172;6;-0.175480427;2017-2019
28/5/2018;28;5;2018;3;80;1;345836.6513;7681975.166;55.5172;-20.9563;3;182;4.382026635;2018;148;5;-0.465206284;2017-2019
4/6/2017;4;6;2017;3;80;0;345836.6513;7681975.166;55.5172;-20.9563;3;182;4.382026635;2017;155;6;-0.380702909;2017-2019
27/8/1998;27;8;1998;1;60;0;345836.6513;7681975.166;55.5172;-20.9563;1;182;4.094344562;1998;239;8;0.633337591;1997-2000
01/6/2019;1;6;2019;3;80;0;348097.1579;7682693.403;55.539;-20.95;3;183;4.382026635;2019;152;6;-0.416918642;2017-2019
24/12/2017;24;12;2017;3;80;0;348097.1579;7682693.403;55.539;-20.95;3;183;4.382026635;2017;358;12;2.069894965;2017-2019
