X;Y;REGION
357655;7634879.7;1
357637.1;7634880;1
357624.8;7634878.3;1
357608.4;7634877.2;1
357579;7634871.7;1
357540.1;7634868.5;1
357489.9;7634856.1;1
357477.2;7634842.3;1
357468.8;7634830.3;1
357452.1;7634826.3;1
357424.1;7634825.6;1
357385.5;7634827.4;1
357318.6;7634821.6;1
357263.7;7634811;1
357231.6;7634782.3;1
357206.6;7634763.8;1
357188.3;7634746.3;1
357158.8;7634722.3;1
357119.7;7634707.2;1
357093.7;7634694.7;1
357059.7;7634681.6;1
357045.7;7634675;1
357019.8;7634659.1;1
356991.8;7634648.6;1
356948.5;7634625.7;1
356927.8;7634611.9;1
356884.5;7634588.2;1
356868.1;7634579.1;1
356864.6;7634578.7;1
356842.7;7634576.2;1
356826.8;7634571.6;1
356807;7634566;1
356788;7634562.4;1
356759.1;7634551.9;1
356723.2;7634538.4;1
356662.7;7634524.6;1
356658.9;7634523.5;1
356650.9;7634521.1;1
356618.7;7634511;1
356595.6;7634505.5;1
356570.2;7634495.1;1
356560.4;7634491.5;1
356521.1;7634474.9;1
356510.3;7634471.6;1
356494.4;7634468.6;1
356482.2;7634467.1;1
356474.5;7634467;1
356469.8;7634467;1
356457.1;7634467.7;1
356435.9;7634468.5;1
356421.8;7634467.7;1
356404.9;7634467.9;1
356380.2;7634468.8;1
356354.6;7634470.1;1
356321.6;7634471;1
356300.9;7634469;1
356275.3;7634465.2;1
356254.7;7634461.9;1
356220.7;7634458.8;1
356189.7;7634456.1;1
356172.2;7634454.4;1
356161.8;7634451.3;1
356152.8;7634450.1;1
356145.5;7634449.1;1
356131.7;7634447;1
356107.8;7634443.9;1
356086.4;7634442.4;1
356056.9;7634438.2;1
356034.9;7634431.1;1
356024.2;7634426.8;1
356021.7;7634424.9;1
356005.8;7634413.8;1
356000.7;7634409.4;1
355997.5;7634399.9;1
355989.6;7634390.1;1
355982.4;7634384.9;1
355977.1;7634381.8;1
355970.1;7634378.2;1
355955.4;7634373.1;1
355940.3;7634370.7;1
355910.1;7634368.3;1
355892.3;7634370.7;1
355875.8;7634374.7;1
355859.4;7634379.2;1
355845.2;7634387.2;1
355831.2;7634396.7;1
355816.5;7634409.6;1
355804.5;7634420.8;1
355790.2;7634430.7;1
355782;7634431;1
355770.2;7634433.6;1
355762.7;7634441.7;1
355750.9;7634453;1
355734.3;7634461.2;1
355720.9;7634475.4;1
355705.1;7634494.1;1
355695.1;7634499.2;1
355694.2;7634500.6;1
355684.3;7634516.4;1
355666.9;7634530.9;1
355651.4;7634539.8;1
355635.3;7634543.3;1
355623.3;7634544.4;1
355615.1;7634543.3;1
355606.2;7634541.8;1
355597.8;7634540;1
355592.7;7634535.6;1
355579.1;7634531.3;1
355574.9;7634532;1
355568.5;7634533.3;1
355559.6;7634536.4;1
355550.7;7634536.9;1
355538.2;7634536.6;1
355530.7;7634541.6;1
355511.6;7634551.6;1
355492.7;7634561.5;1
355474.7;7634571.6;1
355459.5;7634576.7;1
355455.1;7634582;1
355449.3;7634585.5;1
355442.7;7634589.8;1
355438;7634596.8;1
355431.6;7634606;1
355428.7;7634612.2;1
355425.6;7634619.8;1
355421.5;7634630.5;1
355414.9;7634639.6;1
355406.2;7634647.4;1
355396.7;7634654.5;1
355378.4;7634660.7;1
355344;7634676.9;1
355326.6;7634677.8;1
355315.5;7634674;1
355303.3;7634668.9;1
355299.9;7634668.5;1
355294.6;7634666.4;1
355286.6;7634668.4;1
355271.3;7634670.7;1
355264.2;7634681.4;1
355251.3;7634686.7;1
355232.2;7634707.1;1
355221.9;7634710.2;1
355214.9;7634715.1;1
355204;7634715.3;1
355188.9;7634717.3;1
355178.4;7634716;1
355165.7;7634721.6;1
355162.6;7634727.8;1
355153.7;7634728.2;1
355137.1;7634737.6;1
355120.2;7634752.7;1
355108.1;7634762.6;1
355105.8;7634765.4;1
355099.1;7634770.1;1
355093.5;7634776.3;1
355091.9;7634781.6;1
355079.6;7634790.5;1
355072.2;7634798.6;1
355067.1;7634807.1;1
